Tipo,Numero,Nome,Cartella,File,Larghezza_px,Altezza_px,Rapporto_L_A,Orientamento,Megapixel,Dimensione_KB,Formato
vetrina,,vetrina_1,vetrina1,vetrina_1.jpg,1600,1200,1.333,orizzontale,1.92,262.1,JPEG
vetrina,,vetrina_1_old,vetrina1,vetrina_1_old.jpg,1767,1325,1.334,orizzontale,2.34,783.1,JPEG
vetrina,,vetrina_10,vetrina10,vetrina_10.jpg,1600,1200,1.333,orizzontale,1.92,178.2,JPEG
vetrina,,vetrina_10_old,vetrina10,vetrina_10_old.jpg,1431,1908,0.75,verticale,2.73,811.9,JPEG
vetrina,,vetrina_11,vetrina11,vetrina_11.jpg,1600,1200,1.333,orizzontale,1.92,200.9,JPEG
vetrina,,vetrina_11_old,vetrina11,vetrina_11_old.jpg,1380,1840,0.75,verticale,2.54,860.9,JPEG
vetrina,,vetrina_12,vetrina12,vetrina_12.jpg,1600,1200,1.333,orizzontale,1.92,126.7,JPEG
vetrina,,vetrina_12_13_14,vetrina12,vetrina_12_13_14.jpg,2363,1267,1.865,orizzontale,2.99,984.7,JPEG
vetrina,,vetrina_12_13_14,vetrina13,vetrina_12_13_14.jpg,2363,1267,1.865,orizzontale,2.99,984.7,JPEG
vetrina,,vetrina_13,vetrina13,vetrina_13.jpg,1600,1200,1.333,orizzontale,1.92,116.8,JPEG
vetrina,,vetrina_12_13_14,vetrina14,vetrina_12_13_14.jpg,2363,1267,1.865,orizzontale,2.99,984.7,JPEG
vetrina,,vetrina_14,vetrina14,vetrina_14.jpg,1600,1200,1.333,orizzontale,1.92,143.8,JPEG
vetrina,,vetrina_15,vetrina15,vetrina_15.jpg,1600,1200,1.333,orizzontale,1.92,143.8,JPEG
vetrina,,vetrina_2,vetrina2,vetrina_2.jpg,1600,1200,1.333,orizzontale,1.92,237.6,JPEG
vetrina,,vetrina_2_old,vetrina2,vetrina_2_old.jpg,1424,1898,0.75,verticale,2.7,817.9,JPEG
vetrina,,vetrina_3,vetrina3,vetrina_3.jpg,1600,1200,1.333,orizzontale,1.92,271.4,JPEG
vetrina,,vetrina_3_old,vetrina3,vetrina_3_old.jpg,1762,1321,1.334,orizzontale,2.33,783.7,JPEG
vetrina,,vetrina_4,vetrina4,vetrina_4.jpg,1600,1200,1.333,orizzontale,1.92,252.0,JPEG
vetrina,,vetrina_4_old,vetrina4,vetrina_4_old.jpg,1750,1312,1.334,orizzontale,2.3,769.6,JPEG
vetrina,,vetrina_5,vetrina5,vetrina_5.jpg,1600,1200,1.333,orizzontale,1.92,223.5,JPEG
vetrina,,vetrina_5_old,vetrina5,vetrina_5_old.jpg,1358,1811,0.75,verticale,2.46,857.6,JPEG
vetrina,,vetrina_6,vetrina6,vetrina_6.jpg,1600,1200,1.333,orizzontale,1.92,215.6,JPEG
vetrina,,vetrina_6_old,vetrina6,vetrina_6_old.jpg,1381,1841,0.75,verticale,2.54,811.9,JPEG
vetrina,,vetrina_7,vetrina7,vetrina_7.jpg,1600,1200,1.333,orizzontale,1.92,214.2,JPEG
vetrina,,vetrina_7_old,vetrina7,vetrina_7_old.jpg,1439,1919,0.75,verticale,2.76,840.5,JPEG
vetrina,,vetrina_8,vetrina8,vetrina_8.jpg,1600,1200,1.333,orizzontale,1.92,127.7,JPEG
vetrina,,vetrina_8_old,vetrina8,vetrina_8_old.jpg,1463,1951,0.75,verticale,2.85,809.8,JPEG
vetrina,,vetrina_9,vetrina9,vetrina_9.jpg,1600,1200,1.333,orizzontale,1.92,180.8,JPEG
vetrina,,vetrina_9_old,vetrina9,vetrina_9_old.jpg,1447,1929,0.75,verticale,2.79,820.4,JPEG
